file_id,phone,start_time_seconds,end_time_seconds,duration_seconds
audio1_1_english,HH,0.9,0.9400000000000001,0.04
audio1_1_english,IY1,0.9400000000000001,0.99,0.049999999999999996
audio1_1_english,D,0.99,1.05,0.06
audio1_1_english,IH1,1.05,1.1300000000000001,0.08000000000000002
audio1_1_english,D,1.1300000000000001,1.17,0.04000000000000001
audio1_1_english,AH0,1.17,1.21,0.03999999999999998
audio1_1_english,N,1.21,1.24,0.030000000000000027
audio1_1_english,T,1.24,1.29,0.04999999999999999
audio1_1_english,F,1.29,1.3900000000000001,0.09999999999999998
audio1_1_english,IY1,1.3900000000000001,1.47,0.07999999999999996
audio1_1_english,L,1.47,1.5,0.030000000000000027
audio1_1_english,L,1.5,1.57,0.07000000000000006
audio1_1_english,AY1,1.57,1.6600000000000001,0.08999999999999997
audio1_1_english,K,1.6600000000000001,1.75,0.08999999999999997
audio1_1_english,W,1.75,1.82,0.07000000000000006
audio1_1_english,ER1,1.82,1.92,0.09999999999999998
audio1_1_english,K,1.92,2.0100000000000002,0.09000000000000008
audio1_1_english,IH0,2.0100000000000002,2.04,0.029999999999999805
audio1_1_english,NG,2.04,2.13,0.09000000000000008
audio1_2_english,SH,0.74,0.87,0.13
audio1_2_english,IY1,0.87,0.91,0.040000000000000036
audio1_2_english,D,0.91,0.98,0.06999999999999995
audio1_2_english,IH0,0.98,1.05,0.07000000000000006
audio1_2_english,D,1.05,1.1,0.050000000000000044
audio1_2_english,N,1.1,1.15,0.04999999999999982
audio1_2_english,AA1,1.15,1.2,0.050000000000000044
audio1_2_english,T,1.2,1.27,0.07000000000000006
audio1_2_english,F,1.27,1.36,0.09000000000000008
audio1_2_english,AY1,1.36,1.46,0.09999999999999987
audio1_2_english,N,1.46,1.55,0.09000000000000008
audio1_2_english,D,1.55,1.62,0.07000000000000006
audio1_2_english,K,1.62,1.7,0.07999999999999985
audio1_2_english,IY1,1.7,1.87,0.17000000000000015
audio1_2_english,Z,1.87,1.97,0.09999999999999987
audio1_2_english,IH0,1.97,2.01,0.039999999999999813
audio1_2_english,N,2.01,2.06,0.050000000000000266
audio1_2_english,DH,2.06,2.1,0.040000000000000036
audio1_2_english,AH0,2.1,2.14,0.040000000000000036
audio1_2_english,B,2.14,2.23,0.08999999999999986
audio1_2_english,AE1,2.23,2.49,0.26000000000000023
audio1_2_english,G,2.49,2.53,0.03999999999999959
