file_id,phone,start_time_seconds,end_time_seconds,duration_seconds
audio1_1,h_B,0.8700000000000001,0.96,0.08999999999999997
audio1_1,ɛ_I,0.96,0.99,0.030000000000000027
audio1_1,j_E,0.99,1.02,0.02999999999999997
audio1_1,h_B,1.02,1.12,0.09999999999999998
audio1_1,ɑ_I,1.12,1.21,0.09000000000000008
audio1_1,t_E,1.21,1.33,0.12
audio1_1,ɣ_B,1.33,1.58,0.25
audio1_1,eː_I,1.58,1.69,0.10999999999999988
audio1_1,n_E,1.69,1.72,0.030000000000000027
audio1_1,z_B,1.72,1.75,0.030000000000000027
audio1_1,ɪ_I,1.75,1.78,0.030000000000000027
audio1_1,n_E,1.78,1.81,0.030000000000000027
audio1_1,ɪ_B,1.81,1.92,0.10999999999999988
audio1_1,n_E,1.92,1.95,0.030000000000000027
audio1_1,h_B,1.95,1.98,0.030000000000000027
audio1_1,ɛ_I,1.98,2.01,0.030000000000000027
audio1_1,t_E,2.01,2.05,0.040000000000000036
audio1_1,ʋ_B,2.05,2.08,0.030000000000000027
audio1_1,ɛ_I,2.08,2.1100000000000003,0.030000000000000027
audio1_1,r_I,2.1100000000000003,2.14,0.030000000000000027
audio1_1,k_E,2.14,2.17,0.029999999999999805
audio1_2,z_B,1.01,1.1,0.09000000000000001
audio1_2,ɛ_I,1.1,1.1300000000000001,0.03
audio1_2,j_E,1.1300000000000001,1.1600000000000001,0.03
audio1_2,v_B,1.19,1.23,0.03999999999999998
audio1_2,ɔ_I,1.23,1.26,0.030000000000000027
audio1_2,n_I,1.26,1.3,0.03999999999999998
audio1_2,t_E,1.3,1.33,0.030000000000000027
audio1_2,ɣ_B,1.33,1.36,0.02999999999999997
audio1_2,eː_I,1.36,1.3900000000000001,0.030000000000000027
audio1_2,n_E,1.3900000000000001,1.42,0.02999999999999997
audio1_2,s_B,1.42,1.4500000000000002,0.030000000000000027
audio1_2,l_I,1.4500000000000002,1.5,0.04999999999999993
audio1_2,øː_I,1.5,1.54,0.040000000000000036
audio1_2,ʏ_I,1.54,1.6,0.06000000000000005
audio1_2,t_I,1.6,1.63,0.029999999999999916
audio1_2,ɛ_I,1.63,1.6600000000000001,0.030000000000000027
audio1_2,l_I,1.6600000000000001,1.79,0.13
audio1_2,s_E,1.79,1.92,0.13
audio1_2,ɪ_B,1.92,1.9500000000000002,0.030000000000000027
audio1_2,n_E,1.9500000000000002,2.0500000000000003,0.10000000000000009
audio1_2,d_B,2.0500000000000003,2.11,0.05999999999999983
audio1_2,eː_E,2.11,2.5500000000000003,0.44000000000000017
audio1_2,spn_S,2.5500000000000003,2.7,0.1499999999999999
